1,500,500,"102,5","16,67"
2,500,500,"161,67",20
3,500,500,"166,67","19,17"
4,500,500,"172,5","23,33"
5,500,500,"212,5","22,5"
6,500,500,"212,5","24,17"
7,500,500,"223,33","20,83"
8,500,500,"225,83","21,67"
9,500,500,"226,67","22,5"
10,500,500,235,"29,17"
11,500,500,"235,83","31,67"
12,500,500,"251,67","21,67"
13,500,500,"255,83","23,33"
14,500,500,"264,17","32,5"
15,500,500,"282,5","41,67"
16,500,500,"293,33",50
17,500,500,"293,33","52,5"
18,500,500,"293,33","59,17"
19,500,500,295,"25,83"
20,500,500,"296,67","44,17"
21,500,500,"308,33","27,5"
22,500,500,"311,67","34,17"
23,500,500,"316,67",45
24,500,500,"317,5","48,33"
25,500,500,"318,33","58,33"
26,500,500,"333,33",50
27,500,500,"333,33","55,83"
28,500,500,"336,67","45,83"
29,500,500,"349,17","51,67"
30,500,500,"352,5",50
31,500,500,"352,5","56,67"
32,500,500,"352,5","60,83"
33,500,500,"369,17","53,33"
34,500,500,"374,17","45,83"
35,500,500,420,55
36,500,500,"451,67",40
37,500,500,"453,33","46,67"
38,500,500,"471,67","59,17"
39,500,500,"511,67","46,67"
40,500,500,"528,33",60
41,500,500,565,"62,5"
42,500,500,"616,67","56,67"
43,500,500,"623,33","70,83"
44,500,500,635,95
45,500,500,"698,33","106,67"
46,500,500,"748,33","85,83"
47,500,500,840,"102,5"
48,500,500,"938,33","116,67"
